Designator,Mid X,Mid Y,Rotation,Layer
C1,50.4375,-64.7,180.0,top
C2,64.7375,-64.7,0.0,top
J1,50.0,-56.35,0.0,bottom
J2,65.24,-56.35,0.0,bottom
Q1,57.5,-50.1,90.0,top
Q2,57.5,-54.435,90.0,top
Q3,57.5,-58.77,90.0,top
Q4,57.5,-63.105,90.0,top
R1,61.4,-50.0125,90.0,top
R2,53.5,-49.91,90.0,top
R3,61.4,-54.276667,90.0,top
R4,53.5,-54.174167,90.0,top
R5,61.4,-58.540833,90.0,top
R6,53.5,-58.438333,90.0,top
R7,61.4,-62.805,90.0,top
R8,53.5,-62.7025,90.0,top
